인구수_x,shortName,x,y,면적,광역시도,행정구역,시도,군구,count,인구수_y,ratio
615487,서울송파,8,6,33.9,서울특별시,송파구,서울특별시,송파구,1,657101,0.15218360647754303
453634,서울양천,4,5,17.4,서울특별시,양천구,서울특별시,양천구,1,438353,0.2281266467892315
464236,서울은평,4,3,29.7,서울특별시,은평구,서울특별시,은평구,2,463298,0.43168759632029496
140595,서울종로,6,3,23.9,서울특별시,종로구,서울특별시,종로구,4,140397,2.849063726432901
114967,서울중구,6,4,9.96,서울특별시,중구,서울특별시,중구,1,121441,0.8234451297337803
391655,서울중랑,8,4,18.5,서울특별시,중랑구,서울특별시,중랑구,2,384272,0.5204646708581422
203232,울산울주,11,15,754.93,울산광역시,울주군,울산광역시,울주군,1,220665,0.45317562821471463
317785,인천계양,2,5,45.58,인천광역시,계양구,인천광역시,계양구,1,285060,0.3508033396477935
68950,인천동구,1,5,7.05,인천광역시,동구,인천광역시,동구,1,60023,1.66602802259134
527153,인천부평,2,6,32.0,인천광역시,부평구,인천광역시,부평구,1,489621,0.20423960573586508
477567,인천서구,1,4,137.05,인천광역시,서구,인천광역시,서구,1,604017,0.16555825415509828
299734,인천연수,1,8,33.76,인천광역시,연수구,인천광역시,연수구,2,389418,0.5135869425655721
17735,인천옹진,0,8,164.3,인천광역시,옹진군,인천광역시,옹진군,1,20490,4.880429477794046
33413,강진,1,22,495.98,전라남도,강진군,전라남도,강진군,1,32983,3.0318649001000515
59975,고흥,3,22,775.85,전라남도,고흥군,전라남도,고흥군,2,61523,3.2508167677128874
26245,곡성,3,18,547.37,전라남도,곡성군,전라남도,곡성군,1,27097,3.6904454367642177
138071,광양,5,20,446.08,전라남도,광양시,전라남도,광양시,1,152052,0.6576697445610713
85081,나주,1,20,603.69,전라남도,나주시,전라남도,나주시,1,117098,0.8539855505644843
229134,목포,0,20,47.32,전라남도,목포시,전라남도,목포시,2,215040,0.930059523809524
72905,무안,1,19,436.4,전라남도,무안군,전라남도,무안군,1,90520,1.104728236853734
38705,보성,3,21,663.16,전라남도,보성군,전라남도,보성군,1,38110,2.623983206507478
254751,순천,4,20,907.35,전라남도,순천시,전라남도,순천시,2,278808,0.7173395311468824
34396,신안,0,19,653.13,전라남도,신안군,전라남도,신안군,1,38092,2.625223143967237
263166,여수,4,21,501.3,전라남도,여수시,전라남도,여수시,1,273070,0.36620646720621086
48141,영광,1,17,472.97,전라남도,영광군,전라남도,영광군,1,52275,1.9129603060736489
38578,장성,2,17,518.65,전라남도,장성군,전라남도,장성군,1,42801,2.3363940094857596
28133,진도,0,22,420.32,전라남도,진도군,전라남도,진도군,1,29222,3.422079255355554
29242,함평,1,18,392.77,전라남도,함평군,전라남도,함평군,2,30752,6.503642039542144
58331,화순,4,19,786.23,전라남도,화순군,전라남도,화순군,2,61629,3.2452254620389756
51887,고창,1,16,606.9,전라북도,고창군,전라북도,고창군,1,51994,1.923298842174097
259094,군산,2,14,234.74,전라북도,군산시,전라북도,군산시,1,260941,0.3832283926251528
76854,남원,5,17,752.74,전라북도,남원시,전라북도,남원시,2,77308,2.587054379883065
49980,부안,2,15,493.54,전라북도,부안군,전라북도,부안군,1,49817,2.0073468896159947
87465,완주,4,15,821.0,전라북도,완주군,전라북도,완주군,2,95629,2.091415783914921
630708,전주,3,16,206.45,전라북도,전주시,전라북도,전주시,3,646150,0.46428847790760663
21917,진안,4,16,788.94,전라북도,진안군,전라북도,진안군,1,24616,4.062398440038999
145369,서귀포,4,25,870.68,제주특별자치도,서귀포시,제주특별자치도,서귀포시,2,184286,1.0852696352408757
430504,제주,4,24,977.8,제주특별자치도,제주시,제주특별자치도,제주시,2,492546,0.40605344475439853
27130,단양,7,10,781.07,충청북도,단양군,충청북도,단양군,1,27699,3.6102386367738912
46524,영동,6,14,845.01,충청북도,영동군,충청북도,영동군,1,44617,2.2412981598942108
127462,제천,8,10,882.47,충청북도,제천시,충청북도,제천시,1,131231,0.7620150726581372
790216,청주,6,12,932.51,충청북도,청주시,충청북도,청주시,4,850168,0.4704952432930903
198077,충주,6,10,983.7,충청북도,충주시,충청북도,충주시,2,207893,0.9620333536963727
